#{"t_start": 1523435809.9013767, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,155,3.495679
0.0,127,5.080559
1.0,153,7.051606
1.0,157,9.093402
1.0,153,11.01938
